datasetid,title,citation,DOI,licence,accessconstraint,abstract,description,contact,include,complete,theme,keyword
51,Macrobenthos: temporal patterns for stations 115b and 330 in the Belgian Part of the North Sea,"Onraedt, G.; Vanaverbeke, J. (2003). Macrobenthos: temporal patterns for BCS stations 115b and 330. Afdeling Mariene Biologie - Ugent, Belgium. Www.vliz.be/imis/imis.php?module=dataset&dasid=51",NA,Attribution (CC BY),,This dataset contains data on two stations on the Belgian Continental Shelf that are sampled monthly for macrobenthic organisms.,The aim of this research is to study the structural diversity and the role of the macrofauna in the metabolism of the sediment.,Jan Vanaverbeke,T,T,"Biology , Benthos","Continentaal plat , Granulometrie , Macrobenthos , Pigmenten"
67,North Sea Benthos Survey,"Craeymeersh J., P. Kingston, E. Rachor, G. Duineveld, Carlo Heip, Edward Vanden Berghe,  1986: North Sea Benthos Survey.",NA,Attribution-ShareAlike (CC BY-SA),NA,"North Sea macrobenthos species density and abundance, measured on a regular grid of stations corresponding with ICES standard stations. All sampling was done in spring 1986.","The data presented is the result of the 1986 North Sea Benthos Survey, an activity of the Benthos Ecology Working Group of ICES. Benthic samples were taken in a standardised way, on a regular grid covering the whole of the North Sea, and analysed by scientists from 10 laboratories. Extensive work was done to standardise taxonomy and identifications across the different laboratories. A total of just over 1000 species were reported from 235 stations.",Vlaams Instituut voor de Zee,T,T,"Biology , Benthos , Ecology - biodiversity","Benthos , Biodiversiteit , Data , Epibenthos , Macrobenthos , Marine Genomics , Meiobenthische organismen , Meiobenthos"
145,Long term trends in the macrobenthos of the Belgian Continental Shelf,"Degraer, S.; Wittoeck, J.; Appeltans, W.; Cooreman, K.; Deprez, T.; Hillewaert, H.; Hostens, K.; Mees, J.; Vanden Berghe, E.; Vincx, M. (2006) Macrobel: Long term trends in the macrobenthos of the Belgian Continental Shelf. Oostende, Belgium.  Http://www.vliz.be/vmdcdata/macrobel/",NA,Attribution (CC BY),,The global objective of this project is to deliver a substantial contribution to the knowledge of the long term variability in the biodiversity of the macrobenthos and the relationship with anthropogenic activities on the Belgian Continental Shelf.,"The Belgian Continental Shelf (BCS) (surface : 2017 km²) is only 0.5 % of the North Sea surface, but it has a very high diversity in marine habitats and associated biological communities. Also, the socio-economic importance of the BCS is very high. As in most areas around the North Sea, a lot of anthropogenic activities, such as sea fisheries, maritime transport, military shootings, dredging activities and others occur on the BCS.<p>The combination of the ecological and the socio-economic value of the BCS causes conflicts between both interests. Therefore it is very important to develop a sustainable management plan for the natural resources of the BCS. To obtain this goal, information and knowledge is required about:<ul><li>geographical distribution of the marine biological communities,<li>the structure of these communities,<li>their relationship with the physical and the chemical environment,<li>the natural ecological and genetic variability, and<li>the nature and the effect of the anthropogenic influences on these ecosystem components. </ul><p>Macrobenthic organisms are good candidates for monitoring the short and long-term effects of natural and anthropogenic impacts on and within the marine environment because of their direct link with the sediment and with the processes that occur immediately above the sediments.<p>The <b>global objective</b> of this project is to deliver a substantial contribution to the knowledge of the long term variability in the biodiversity of the macrobenthos and the relationship with anthropogenic activities.<p>The <b>specific aim</b> of this website is to deliver an atlas with distribution maps of the macrobenthos of the Belgian Coastal Shelf (BCS) for the periods 1977-1983 and 1994-2000. Besides biogeographic and taxonomy information, which is given for each taxon, descriptive details on morphology, biology, ecology, habitat preferences and illustrations are given for a limited number a taxa (see list below). Eventually, by continuing monitoring programmes, our knowledge of different effects of antropogenic activities on the macrobenthos will aid in the development of a sustainable management plan for the Belgian Coastal Shelf.",Universiteit Gent; Faculteit Wetenschappen; Vakgroep Biologie; Onderzoeksgroep Mariene Biologie,T,T,"Biology , Benthos , Ecology - biodiversity","Bentische gemeenschappen , Biogeografie , Data , Langetermijneffecten , Macrobenthos , Marine Genomics , Taxonomie"
490,Biocean,"Fabri, M-C. et al., Ifremer BIOCEAN database (Deep Sea Benthic Fauna). Institut Français de Recherche pour l'Exploitation de la Mer, Ifremer, Issy-les-Moulineaux, France. World Wide Web electronic publication, http://www.ifremer.fr/isi/biocean",NA,Attribution (CC BY),,Deep-sea benthic fauna collected during Ifremer cruises,"The Biocean database was designed to gather the extremely large volume of data collected from different deep-sea ecosystem studies conducted by Ifremer's department ""Environnement Profond"" and aims at facilitating ecosystem studies in the deep sea. It represents an important new resource for deep-sea ecologists and will have wide applications in biogeography, and biodiversity studies.",Catherine Borremans,T,T,"Benthos , Ecology - biodiversity","Benthos , Diepzee , Fauna"
599,BIS dataset of the south-western part of Netherlands (1985-2004),"Hummel H. 2004: BIS dataset of the south-western part of Netherlands (1985-2004). Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=599",NA,Attribution-NonCommercial (CC BY-NC),"only presence data are available through EurOBIS & EMODnet under the given license. For access to additional data, the provider needs to be contacted","This CD contains part of the data from the Benthos Information system, the database of the Monitor Task-group of the NIOO.","The data included are the available data from 1985 until 2004. All included samples are from the South-Western part of the Netherlands (Delta and coastal area) taken with a Reineck Box-core, a sub-sampling with one or more cores from a box-core, or one or more cores directly taken from the sediment. All samples are taken approximately 30 cm deep into the sediment.
<p>All data is presented in two-types databases (Access and Paradox), each containing two tables. And as an Excel workbook. One table holds all data of the macrobenthos, the other table holds information about the sediment (mean grain-size, silt content). The two tables can be linked through the Sample_id. Sediment data are only available for part of the data. The sediment data are not included in the Excel workbook.  Samples with two or more replicates and samples which where divided in several slices are aggregated to one sample.

All actual counted numbers and measured weights are included as well as the calculated density and weights (mg) per square meter. Positions are given in the Dutch system and as geographic coordinates (datum: European 1950 and World 1984). Depth is given in meters below NAP.
Species-names are matched with the European Register of Marine Species as much as possible. Taxonomy and feeding-type are included. All samples whithout any benthic fauna, are added to the databases (not in the Excel-workbook) as entries with empty fields for spesies name and taxonomy. The number, density, AFDW and biomass are set to 0.
</p><br>
<p>DISCLAIMER:</p><br>
All data on the CD are owned by the Monitor Taskforce of the NIOO-KNAW.
Although the data is collected with extreme care, the monitor Taskforce is not responsible for any possible errors.
</p><br>
<p>RESTRICTIONS:</p><br>
Use of the data is restricted to the Marbef Theme 1 Workshop at Crete, October 2005.
For any use of the data in publications or presentations, co-authorship is required.
It is NOT allowed to make a (partial) copy of the data.
</p><br>
<p>INFO ABOUT THE MONITOR TASKFORCE:</p><br>
All the information can be found at our webpage http://www.monitortaskforce.com/
</p><br>
<p>CONTACT:</p><br>
For any questions or other use of the data please contact
W.C.H. Sistermans (datamanager) Email: w.sistermans@nioo.knaw.nl or
H. Hummel (Taskforce leader) Email: h.hummel@nioo.knaw.nl",,T,T,"Biology , Benthos","Benthische fauna , Benthos , Biogeografie , Biomassa , Lange termijn monitoring"
615,National Marine Monitoring Programme data set,"Whomersley, P., 2003: National Marine Monitoring Programme. Benthos data of the North Sea, Irish Sea, English Channel from 2002-2003. CEFAS, Burnham On Crouch, UK",NA,Restricted,Release with permission of the appropriate parties,The National Marine Monitoring Programme dataset describes the spatial distribution of contaminants in UK marine waters and their biological status,The original dataset objective was to fulfil the UK’s mandatory monitoring requirements under the OSPAR Joint Assessment and Monitoring Programme (JAMP) and to monitor long-term trends at selected temporal stations around the UK,Paul Whomersley,T,T,"Biology , Benthos",Macrobenthos
640,Marine Life Information Network (MarLIN) marine survey data (Professional),"Parr, J. Marine Life Information Network (MarLIN) marine survey data (Professional). Marlin, Collated Marine Life Survey Datasets, Marine Biological Association of the UK, Plymouth, UK",NA,Attribution (CC BY),,"A collection of marine life surveys collated by the Marine Life Information Network (MarLIN) as part of their data access program. Surveys are either flagged as professional surveys or data collected by volunteer recorders as part for the Sealife Survey. Information about survey methodology can be found on the MarLIN Web site (www.marlin.ac.uk). There are currently 368 surveys collated by MarLIN containing 250,000 species records. Data ownership remains with the data provider and permission must be sought for commercial use of the data.",NA,Jon Parr,T,T,"Biology , Benthos , Fish","Data , Macrobenthos , Marine Genomics , Zoöbenthos"
657,Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by CCW,"Countryside Council for Wales. Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by CCW. Countryside Council for Wales, Gwynedd, UK.",NA,Attribution (CC BY),,This dataset includes the survey data that were commissioned and collected by Countryside Council for Wales.,"Note these data complement other datasets held by JNCC and the other country agencies that used the same methodology. However, this dataset comprises those data that were paid for by CCW directly. The data contributed to the MNCR programme which was initiated to provide a comprehensive baseline of information on marine habitats and their associated species around the coast of Britain which would aid coastal zone and sea-use management and to contribute to the identification of areas of marine natural heritage importance. The focus of MNCR work was on benthic habitats (often referred to as 'biotopes') in intertidal and inshore (typically within 3nm) subtidal areas.

Methods of data capture
The majority of data were collected using methods described in the MNCR Rational and Methods report (Hiscock 1996). Broadly, this encompassed surveying a range of sites within a geographical area to sample and describe the variety of habitats present (sampling habitats in different substrata, depths, wave exposures, current regimes, salinity regimes and so on). Each habitat was sampled using semi-quantitative recording techniques (SACFOR abundance scales) for recording epibiota on rocky habitats.

Geographical Coverage
This dataset relates to Wales. Note however that the dataset ""Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC"" also includes equivalent and complementary data from Wales.

Temporal Coverage 
The data were collected post 1993. 

Data Quality
The data have been extensively checked during the course of the creation of the various reports produced by the MNCR programme. This included the MNCR Area Summary report series which describes the marine habitats in particular regions around the UK and the creation of the national marine habitat (biotope) classification system. Through this work the vast majority of the anomalies and errors in the data should have been identified but some may still remain.",,T,T,"Biology , Benthos , Macroalgae , Fish","Biodiversiteit , Marine biodiversity"
690,"Marine species data for Scottish waters held and managed by Scottish Natural Heritage, derived from benthic surveys 1993 to 2012","Scottish Natural Heritage. Marine species data for Scottish waters held and managed by Scottish Natural Heritage, derived from benthic surveys 1993 to 2012. Scottish Natural Heritage, Edinburgh, UK. https://doi.org/10.15468/faxvgd
","https://doi.org/10.15468/faxvgd
",Attribution (CC BY),,"The dataset comprises: species records from benthic surveys commissioned by SNH or projects where SNH were a partner and the outputs are under the custodianship of SNH. Additionally species records determined from SNH analysis of third party commissioned benthic survey video footage are included. The dataset contains surveys which contributed to the Marine Nature Conservation Review (MNCR) programme, EU-funded BioMar Life project, SNH Site Condition Monitoring including broad scale surveys in support of the Natura process, surveys to establish the impact of specific activities on marine habitats and species and surveys to support the Scottish Marine Protected Areas project.","Purpose of data capture: Records in this dataset were originally collected for a variety of purposes including: identification of areas of marine natural heritage importance, to support protected site designation or to support site condition monitoring. This dataset is a collation of species records from these surveys and has been produced to mobilise these records to a broad spectrum of users and in so doing it contributes to Scottish Natural Heritage?s ongoing commitment to the National Biodiversity Network.

Methods of data capture: Records in the dataset were collected as a result of commissioned surveys which used a range of methodologies often closely aligned with those of the Marine Nature Conservation Review (MNCR) as described in the MNCR Rational and Methods report (Hiscock 1996). Surveys were typically undertaken using one or more of the following techniques, remotely operated video (ROV), drop-down or towed video, grab sampling, core sampling, clump sampling, diver video, MNCR phase 2 diver recording, and intertidal transects and quadrats. Most commonly semi-quantitative recording techniques have been applied using the SACFOR abundance scale, but species presence, and count data have also been used. Typically although not presented in this dataset the surveys would also have described the variety of habitats present (detailing substrata, depths, wave exposures, current regimes, salinity and so on). Verification and validation of records has typically focused on a quality assurance protocol for taxon determination and data entry.

Geographical coverage: The records in this dataset relate to the Scottish Marine Area, but have a predominant near-shore focus in their distribution.

Temporal coverage: The records present in this dataset relate to field surveys 1993 up to and including 2012.

Data quality: The majority of records have been subjected to quality assurance procedures which includes an independent oversight of a sub-set of records from each survey and specialist taxonomic input. In addition some of the data has been subject to NMBAQC protocols. Additionally, SNH project managers? have an oversight on the survey deliverables. Overall confidence in the dataset is high although it is conceivable that errors exist in this dataset. SNH view mobilisation of these records to the NBN Gateway as a further mechanism for assuring data quality. If users of the Gateway identify potential errors in the dataset then these should be flagged with SNH who will consider all feedback.",,T,T,"Biology , Benthos , Invertebrates , Macroalgae , Plants , Fish",Biodiversiteit
781,Cross Sands broadscale survey 1998,"Cooper, K.M., S.E. Boyd & H.L. Rees. Cross Sands broadscale survey 1998. Centre for Environment, Fisheries and Aquaculture, Burnham laboratory, Essex, UK.",NA,Attribution (CC BY),,Broadscale benthic survey undertaken by CEFAS off the east coast of the United Kingdom.,"The purpose of this study was to determine whether there was any evidence of a large-scale cumulative impact on benthic macro-invertebrate communities as a result of the multiple sites of aggregate extraction located off Great Yarmouth in the southern North Sea.  Forty 0.1m2 Hamon grab samples were collected from across the region, both within and beyond the extraction area, and analysed for macrofauna and sediment particle size distribution in order to produce a regional description of the status of the seabed environment.  In addition, the data were analysed in relation to the area of seabed impacted by dredging over the period 1993-1998.  Areas subject to ‘direct’ impacts were determined through reference to annual electronic records of dredging activity and this information was then used to model the likely extent of areas potentially subject to ‘indirect’ ecological and geophysical impact.  Results showed the study area to be characterised by sands in the northern half of the survey area, and sandy gravels in the south.  The low diversity communities found across much of the survey area were typical of mobile sandy sediments.  However, stations located in the southern half and northern extreme of the survey area tended to support higher numbers of species and individuals.  This may be due to marginally enhanced stability arising from the higher proportion of gravel found in samples to the south of the extraction licences and to the presence of Sabellaria spinulosa reef in the north.  Analysis of data in relation to areas of predicted dredging impact revealed proportionally less gravel and more sand within the ‘direct’ impact zone, compared to the ‘indirect’ impact zone.  Whilst multivariate analyses of macrofaunal data were unable to discriminate between dredging impact zones, a comparison of univariate measures revealed significantly lower numbers of species and individuals in areas which have been subject to ‘direct’ dredging impacts in comparison with ‘reference’ areas.  This provides good evidence of the near-field consequences of dredging.  Values of these measures in the ‘indirect’ zone were intermediate, although not significantly different from the ’reference’ zone.  We conclude that, although the dominant influence on assemblages in the region is that of sediment instability induced by tidal currents, we cannot dismiss the possibility of a subsidiary influence of dredging activity in the near vicinity of the licensed block and further investigation is warranted.",Keith Cooper,T,T,"Biology , Benthos , Ecology - biodiversity","Aggregate , Benthos , Hamon grab , Macrobenthos , Macrofauna , Zoöbenthos"
