AphiaID,scientificnameaccepted
129370,Nephtys
141433,Abra alba
126752,Ammodytes tobianus
127139,Limanda limanda
127389,Syngnathus rostellatus
130352,Nephtys pente
130359,Nephtys hombergii
129211,Capitella
129446,Eumida
129877,Capitella giardi
129879,Capitella minima
130143,Goniadella bobrezkii
130364,Nephtys longosetosa
799,Nematoda
2036,Oligochaeta
101742,Bathyporeia
130616,Eteone longa
102665,Orchomene humilis
102783,Megaluropus agilis
103235,Urothoe poseidonis
106763,Portunidae
107381,Carcinus maenas
107390,Liocarcinus marmoreus
101857,Pariambus typicus
101864,Phtisica marina
101891,Ampelisca brevicornis
102364,Gammaropsis maculata
102916,Pontocrates altamarinus
110462,Iphinoe trispinosa
793,Platyhelminthes
1292,Anthozoa
102989,Phoxocephalus holbolli
107232,Pagurus bernhardus
107551,Crangon allmanni
140589,Nucula nitidosa
334512,Phyllodoce mucosa
110487,Diastylis rathkei
107552,Crangon crangon
110516,Lamprops fasciatus
130375,Eunereis longissima
110627,Pseudocuma (Pseudocuma) longicorne
120020,Gastrosaccus spinifer
120206,Schistomysis spiritus
124929,Ophiura ophiura
120204,Schistomysis ornata
129898,Notomastus latericeus
11676,Pisces
102317,Haustorius arenarius
131170,Pygospio elegans
131495,Lanice conchilega
130374,Eunereis elitoralis
134723,Anoplodactylus petiolatus
139410,Corbula gibba
140480,Mytilus edulis
130531,Phylo norvegicus
152357,Malmgrenia castanea
152391,Nemertea
157566,Scolelepis (Scolelepis) squamata
102139,Nototropis falcatus
334510,Phyllodoce maculata
130749,Gattyana cirrhosa
334946,Tomopteris (Johnstonella) helgolandica
345281,Kurtiella bidentata
102764,Tryphosella nanoides
102915,Perioculodes longimanus
102928,Synchelidium maculatum
130980,Scalibregma inflatum
131169,Pseudopolydora pulchra
131183,Spio filicornis
131184,Spio goniocephala
120178,Praunus inermis
123084,Ophiuroidea
126928,Pomatoschistus minutus
488966,Nototropis swammerdamei
129955,Chaetozone setosa
130123,Glycera lapidum
130271,Magelona mirabilis
139604,Donax vittatus
140590,Nucula nucleus
151894,Euspira nitida
152367,Lagis koreni
334506,Phyllodoce groenlandica
130355,Nephtys caeca
571832,Harmothoe glabra
878470,Macomangulus tenuis
102918,Pontocrates arenarius
880017,Limecola balthica
130357,Nephtys cirrosa
102926,Synchelidium intermedium
104906,Branchiostoma lanceolatum
130523,Orbinia sertulata
107387,Liocarcinus depurator
130537,Scoloplos armiger
130707,Pisione remota
107614,Palaemon elegans
131107,Aonides paucibranchiata
110488,Diastylis rugosa
124392,Echinocardium cordatum
140299,Mactra stultorum
140301,Spisula solida
127143,Pleuronectes platessa
129876,Capitella capitata
130353,Nephtys assimilis
130494,Ophelia limacina
146907,Fabulina fabula
146932,Paraonis fulgens
130644,Eumida sanguinea
130735,Bylgides sarsi
146952,Tellimya ferruginosa
334514,Phyllodoce rosea
347056,Delavalia
488957,Nototropis guttatus
876640,Ensis leei
131171,Scolelepis bonnieri
131185,Spio martinensis
131187,Spiophanes bombyx
138998,Cerastoderma edule
140302,Spisula subtruncata
152304,Malmgrenia ljungmani
152378,Thracia phaseolina
160539,Ensis magnus
179538,Nototropis vedlomensis
105,Bivalvia
101,Gastropoda
135,Eulimidae
189,Aeolidioidea
204,Nuculidae
225,Montacutinae
229,Cardiidae
883,Polychaeta
889,Spionida
901,Sabellida
931,Phyllodocidae
980,Pectinariidae
982,Terebellidae
1130,Decapoda
1133,Tanaidacea
1135,Amphipoda
1195,Bopyridae
1267,Cnidaria
1268,Sipuncula
1337,Hydrozoa
1360,Actiniaria
1562,Ammotheidae
1762,Nudibranchia
1818,Hemichordata
10194,Actinopterygii
13551,Anthoathecata
13552,Leptothecata
101395,Lysianassidae
101445,Ampelisca
101537,Gammarus
101669,Cheirocratus
101694,Monoculodes
101702,Pontocrates
101789,Urothoe
106122,Balanus
101908,Ampelisca macrocephala
101928,Ampelisca spinipes
101930,Ampelisca tenuicornis
101933,Ampelisca typica
102021,Autonoe longipes
102064,Argissa hamatipes
102172,Apherusa ovalipes
102292,Gammarus salinus
102380,Microprotopus maculatus
102383,Photis longicaudata
102387,Photis reinhardi
102462,Leucothoe lilljeborgi
102497,Acidostoma obesum
102570,Hippomedon denticulatus
102599,Lepidepecreum longicornis
102691,Orchomenella nana
102720,Scopelocheirus hopei
102788,Abludomelita obtusata
102798,Cheirocratus sundevallii
102960,Harpinia antennaria
102968,Harpinia laevis
102972,Harpinia pectinata
103058,Bathyporeia elegans
103060,Bathyporeia guilliamsoniana
103064,Bathyporeia nana
103076,Bathyporeia tenuipes
103116,Metopa alderi
103118,Metopa borealis
103166,Stenothoe marina
103251,Hyperia galba
104152,Calanus
106738,Paguridae
106782,Crangonidae
106834,Galathea
106854,Pagurus
106925,Liocarcinus
107072,Callianassa
107276,Cancer pagurus
107277,Corystes cassivelaunus
107281,Thia scutellata
107294,Ebalia cranchii
107388,Liocarcinus holsatus
107473,Pinnotheres pisum
107562,Philocheras trispinosus
107729,Callianassa subterranea
107739,Upogebia deltaura
108207,Philocheras bispinosus bispinosus
108344,Processa nouveli holthuisi
110377,Echiurus echiurus
110398,Diastylis
110427,Pseudocuma
110444,Bodotria pulchella
110445,Bodotria scorpioides
110467,Vaunthompsonia cristata
110472,Diastylis bradyi
123080,Asteroidea
110481,Diastylis laevis
110483,Diastylis lucifera
110524,Eudorella emarginata
110535,Eudorella truncatula
110536,Eudorellopsis deformis
110618,Leucon (Leucon) nasica
110628,Pseudocuma (Pseudocuma) simile
111355,Electra pilosa
111597,Alcyonidium diaphanum
113843,Astrorhiza limicola
117015,Bougainvillia
117321,Bougainvillia britannica
117382,Laomedea flexuosa
117385,Obelia bidentata
117389,Obelia longissima
117413,Opercularella lacerata
117452,Corymorpha nutans
117994,Tubularia indivisa
118917,Limnoria lignorum
120203,Schistomysis kervillei
123426,Echinocardium
123574,Ophiura
128545,Phoronis
123613,Amphiura
123867,Astropecten irregularis
124273,Echinocyamus pusillus
124319,Psammechinus miliaris
124373,Brissopsis lyrifera
124394,Echinocardium flavescens
124465,Leptosynapta inhaerens
124612,Cucumaria frondosa
124635,Leptopentacta elongata
124913,Ophiura albida
125064,Amphipholis squamata
125080,Amphiura filiformis
126756,Hyperoplus lanceolatus
128722,Sapphirina
129155,Ampharete
129218,Mediomastus
129240,Aphelochaeta
129242,Chaetozone
129296,Glycera
129307,Gyptis
129337,Lumbrineris
129341,Magelona
129379,Nereis
129414,Ophelina
129426,Myriochele
129443,Eteone
129455,Phyllodoce
129488,Gattyana
129491,Harmothoe
138159,Spisula
129499,Malmgreniella
129525,Chone
129619,Polydora
129621,Pseudopolydora
129659,Myrianida
129710,Polycirrus
129715,Tomopteris
129776,Ampharete baltica
129778,Ampharete finmarchica
129789,Anobothrus gracilis
129837,Paramphinome jeffreysii
129840,Aphrodita aculeata
129884,Heteromastus filiformis
129892,Mediomastus fragilis
129914,Chaetopterus variopedatus
130041,Protodorvillea kefersteini
130100,Diplocirrus glaucus
130103,Flabelligera affinis
130113,Pherusa plumosa
130116,Glycera alba
130119,Glycera celtica
130126,Glycera oxycephala
130128,Glycera tesselata
130131,Glycera unicornis
130136,Glycinde nordmanni
130266,Magelona alleni
130140,Goniada maculata
130168,Microphthalmus aberrans
130197,Podarkeopsis helgolandicus
130248,Lumbrineris latreilli
130265,Scoletoma tetraura
130268,Magelona filiformis
130269,Magelona johnstoni
130362,Nephtys incisa
130363,Nephtys kersivalensis
130500,Ophelina acuminata
130507,Ophelina modesta
130512,Travisia forbesii
130544,Owenia fusiformis
130578,Levinsenia gracilis
130598,Pholoe assimilis
130599,Pholoe baltica
130641,Eumida bahusiensis
130643,Eumida punctifera
130711,Poecilochaetus serpens
130712,Polygordius appendiculatus
130714,Polygordius lacteus
130738,Enipo kinbergi
130745,Eunoe nodosa
130748,Gattyana amondseni
130770,Harmothoe impar
130801,Lepidonotus squamatus
130888,Chone duneri
131072,Sigalion mathildae
131077,Sthenelais limicola
131100,Sphaerodorum gracilis
131153,Prionospio cirrifera
131166,Pseudopolydora antennata
131188,Spiophanes kroyeri
131402,Streptosyllis websteri
131531,Polycirrus medusa
134592,Anoplodactylus
136021,Golfingia
137683,Astarte
137732,Acanthocardia
137867,Cylichna
138157,Lutraria
138158,Mactra
138211,Mya
138333,Ensis
138339,Philine
138474,Abra
138432,Retusa
138438,Rissoella
138549,Thracia
138590,Gibbula
138636,Dosinia
138691,Acteon tornatilis
138802,Arctica islandica
138823,Astarte montagui
138831,Goodallia triangularis
138878,Buccinum undatum
138903,Colus jeffreysianus
138992,Acanthocardia echinata
139106,Chaetoderma nitidulum
139474,Cylichna alba
139476,Cylichna cylindracea
139486,Roxania utriculus
139832,Melanella alba
140103,Hiatella arctica
140129,Hyala vitrea
140283,Lucinoma borealis
140295,Lutraria lutraria
140300,Spisula elliptica
140533,Euspira montagui
140584,Ennucula tenuis
140728,Mysia undata
140733,Ensis ensis
140735,Ensis siliqua
140737,Phaxas pellucidus
140870,Gari fervensis
151365,Caudofoveata
141435,Abra nitida
141436,Abra prismatica
141651,Thracia villosiuscula
141662,Thyasira flexuosa
141907,Chamelea gallina
141929,Timoclea ovata
146950,Galathowenia oculata
148603,Monocorophium sextonae
