aphiaID,scientificName,n_events
152391,Nemertea,33483
131187,Spiophanes bombyx,23923
130537,Scoloplos armiger,23569
130359,Nephtys hombergii,20960
141433,Abra alba,20027
345281,Kurtiella bidentata,19775
129370,Nephtys,15875
799,Nematoda,15816
130357,Nephtys cirrosa,15639
131495,Lanice conchilega,13795
129892,Mediomastus fragilis,12877
138333,Ensis,12870
131107,Aonides paucibranchiata,12666
607402,Hilbigneris gracilis,12363
129884,Heteromastus filiformis,12173
146907,Fabulina fabula,12125
130123,Glycera lapidum,12082
130544,Owenia fusiformis,11942
880017,Limecola balthica,11744
124913,Ophiura albida,11648
124929,Ophiura ophiura,11283
129710,Polycirrus,11247
124273,Echinocyamus pusillus,11204
1360,Actiniaria,10783
2036,Oligochaeta,10677
152367,Lagis koreni,10274
129898,Notomastus latericeus,9956
130980,Scalibregma inflatum,9884
152302,Hediste diversicolor,9860
123776,Asterias rubens,9823
130599,Pholoe baltica,9681
139410,Corbula gibba,9604
129220,Notomastus,9536
107388,Liocarcinus holsatus,9534
128545,Phoronis,9527
140302,Spisula subtruncata,9296
130616,Eteone longa,9232
131170,Pygospio elegans,9136
140480,Mytilus edulis,9086
107232,Pagurus bernhardus,8897
130140,Goniada maculata,8776
125080,Amphiura filiformis,8644
130711,Poecilochaetus serpens,8639
125064,Amphipholis squamata,8621
151894,Euspira nitida,8204
129943,Caulleriella alata,8183
124392,Echinocardium cordatum,8072
146950,Galathowenia oculata,7867
103058,Bathyporeia elegans,7762
123084,Ophiuroidea,7446
130867,Sabellaria spinulosa,7390
140430,Mya arenaria,7241
129876,Capitella capitata,7238
555935,Spirobranchus triqueter,7235
129781,Ampharete lindstroemi,7186
141908,Chamelea striatula,7119
141662,Thyasira flexuosa,7088
107188,Pisidia longicornis,7034
130601,Pholoe inornata,6673
129955,Chaetozone setosa,6626
129938,Aphelochaeta marioni,6572
101928,Ampelisca spinipes,6564
131127,Laonice bahusiensis,6541
140589,Nucula nitidosa,6443
107150,Galathea intermedia,6370
129680,Syllis,6367
130269,Magelona johnstoni,6283
138998,Cerastoderma edule,6262
558,Porifera,6206
140737,Phaxas pellucidus,6150
141929,Timoclea ovata,6118
130375,Eunereis longissima,6115
130491,Ophelia borealis,6092
130644,Eumida sanguinea,6079
130100,Diplocirrus glaucus,6044
131188,Spiophanes kroyeri,6017
129211,Capitella,6012
139604,Donax vittatus,6000
131573,Terebellides stroemii,5779
111355,Electra pilosa,5723
129582,Spirobranchus,5693
131183,Spio filicornis,5650
123574,Ophiura,5631
140300,Spisula elliptica,5572
129296,Glycera,5524
102101,Corophium volutator,5513
334512,Phyllodoce mucosa,5497
138081,Hydrobia,5359
560033,Spirobranchus lamarcki,5354
129491,Harmothoe,5322
103228,Urothoe elegans,5228
130116,Glycera alba,5226
101930,Ampelisca tenuicornis,5201
130041,Protodorvillea kefersteini,4967
146952,Tellimya ferruginosa,4935
124319,Psammechinus miliaris,4873
140199,Leptochiton asellus,4868
336485,Chaetozone zetlandica,4769
129240,Aphelochaeta,4757
102915,Perioculodes longimanus,4753
103235,Urothoe poseidonis,4743
130271,Magelona mirabilis,4743
117890,Hydrallmania falcata,4715
130631,Eulalia mustela,4700
131117,Dipolydora coeca,4688
130268,Magelona filiformis,4685
103060,Bathyporeia guilliamsoniana,4661
111484,Escharella immersa,4647
130585,Paradoneis lyra,4632
107552,Crangon crangon,4619
146142,Bryozoa,4547
107199,Diogenes pugilator,4533
137571,Tubificoides benedii,4517
111367,Flustra foliacea,4475
130770,Harmothoe impar,4403
106215,Balanus crenatus,4397
138963,Crepidula fornicata,4393
125333,Alcyonium digitatum,4364
107381,Carcinus maenas,4346
141435,Abra nitida,4340
151628,Peringia ulvae,4325
130130,Glycera tridactyla,4305
130801,Lepidonotus squamatus,4283
130355,Nephtys caeca,4280
283798,Cerianthus lloydii,4236
129659,Myrianida,4196
102960,Harpinia antennaria,4186
876821,Tritia reticulata,4148
143691,Corallinaceae,4133
1337,Hydrozoa,4110
101857,Pariambus typicus,4100
130322,Praxillella affinis,4061
105,Bivalvia,4041
152217,Chaetozone christiei,4031
120020,Gastrosaccus spinifer,3979
152314,Spio decorata,3973
103882,Dendrodoa grossularia,3949
139476,Cylichna cylindracea,3949
131157,Prionospio fallax,3922
131077,Sthenelais limicola,3912
128549,Phoronis muelleri,3908
129868,Arenicola marina,3872
141436,Abra prismatica,3859
130266,Magelona alleni,3767
140025,Glycymeris glycymeris,3726
131143,Polydora cornuta,3693
131185,Spio martinensis,3681
130126,Glycera oxycephala,3671
988,Serpulidae,3655
1080,Copepoda,3652
939,Polynoidae,3627
327985,Exogone naidina,3583
122637,Tubulanus polymorphus,3562
179538,Nototropis vedlomensis,3549
130136,Glycinde nordmanni,3543
117234,Sertularia,3518
534781,Othomaera othonis,3509
125131,Ophiothrix fragilis,3502
131516,Pista cristata,3500
107281,Thia scutellata,3497
152269,Tharyx killariensis,3451
130195,Podarkeopsis capensis,3444
757970,Parexogone hebes,3443
129808,Melinna palmata,3423
101891,Ampelisca brevicornis,3400
130979,Scalibregma celticum,3380
111597,Alcyonidium diaphanum,3337
103226,Urothoe brevicornis,3309
123206,Amphiuridae,3304
130363,Nephtys kersivalensis,3276
101742,Bathyporeia,3252
129346,Clymenura,3248
107277,Corystes cassivelaunus,3236
144296,Ulva,3230
1839,Ascidiacea,3222
140590,Nucula nucleus,3193
130649,Hesionura elongata,3191
1130,Decapoda,3182
743898,Baltidrilus costatus,3163
131116,Dipolydora caulleryi,3160
129446,Eumida,3148
131106,Aonides oxycephala,3143
919,Cirratulidae,3105
141799,Gibbula tumida,3077
334506,Phyllodoce groenlandica,3075
131153,Prionospio cirrifera,3071
152378,Thracia phaseolina,3059
111351,Conopeum reticulum,3051
106738,Paguridae,2993
111730,Disporella hispida,2984
110829,Schizomavella,2974
110472,Diastylis bradyi,2917
130294,Euclymene oerstedii,2899
125073,Amphiura chiajei,2887
234850,Alitta succinea,2858
878470,Macomangulus tenuis,2858
100880,Edwardsia claparedii,2840
1297885,Paucibranchia bellii,2836
985,Sabellidae,2828
234851,Alitta virens,2827
106257,Verruca stroemia,2822
110627,Pseudocuma (Pseudocuma) longicorne,2799
140301,Spisula solida,2799
111304,Chorizopora brongniartii,2779
140432,Sphenia binghami,2743
107739,Upogebia deltaura,2714
129625,Spio,2711
175026,Golfingia (Golfingia) elongata,2684
131543,Thelepus cincinnatus,2677
131169,Pseudopolydora pulchra,2670
122348,Cerebratulus,2659
129837,Paramphinome jeffreysii,2648
102057,Unciola crenatipalma,2637
110445,Bodotria scorpioides,2609
1268,Sipuncula,2605
130240,Lumbrineris cingulata,2595
745846,Polititapes rhomboides,2592
140295,Lutraria lutraria,2586
131135,Marenzelleria viridis,2582
1292,Anthozoa,2577
152448,Amphictene auricoma,2563
130578,Levinsenia gracilis,2546
102460,Leucothoe incisa,2527
129443,Eteone,2514
130749,Gattyana cirrhosa,2499
710680,Oxydromus flexuosus,2492
130641,Eumida bahusiensis,2488
923,Maldanidae,2486
140283,Lucinoma borealis,2475
130067,Eunice vittata,2464
110535,Eudorella truncatula,2461
1381415,Turritellinella tricarinata,2453
131171,Scolelepis bonnieri,2450
879714,Asbjornsenia pygmaea,2440
106925,Liocarcinus,2427
1606,Campanulariidae,2421
101669,Cheirocratus,2418
102788,Abludomelita obtusata,2414
129472,Polygordius,2413
107393,Liocarcinus pusillus,2399
883,Polychaeta,2397
131415,Syllis armillaris,2383
138474,Abra,2380
111268,Cellepora pumicosa,2377
102036,Leptocheirus hirsutimanus,2376
140103,Hiatella arctica,2361
138549,Thracia,2360
138159,Spisula,2352
104906,Branchiostoma lanceolatum,2350
140873,Gari tellinella,2350
131193,Streblospio shrubsolii,2345
134723,Anoplodactylus petiolatus,2342
111147,Bicellariella ciliata,2339
102783,Megaluropus agilis,2336
